Dehashed name,WEM name (English),WEM name (日本語)
addkizunatalk009_0490,105297688.wem,358061513.wem
addkizunatalk009_0500,261266826.wem,969146024.wem
addkizunatalk009_0510,187531164.wem,564555105.wem
addkizunatalk010_0010,138875784.wem,497884082.wem
addkizunatalk010_0020,863276701.wem,621957708.wem
addkizunatalk010_0030,281847999.wem,742936283.wem
addkizunatalk010_0040,216297066.wem,47850700.wem
addkizunatalk010_0050,32384767.wem,1009137890.wem
addkizunatalk010_0060,335342604.wem,683779210.wem
addkizunatalk010_0070,944917460.wem,55743253.wem
addkizunatalk010_0080,473246824.wem,911766444.wem
addkizunatalk010_0090,520904508.wem,719302901.wem
addkizunatalk010_0100,219499515.wem,234964674.wem
addkizunatalk010_0110,1070011466.wem,929385949.wem
addkizunatalk010_0120,300421571.wem,95224575.wem
addkizunatalk010_0130,345203072.wem,253734814.wem
addkizunatalk010_0140,248961645.wem,952305621.wem
addkizunatalk010_0150,1033396686.wem,387807600.wem
addkizunatalk010_0160,856820251.wem,463481803.wem
addkizunatalk010_0170,577884919.wem,383100453.wem
addkizunatalk010_0180,771074483.wem,232458675.wem
addkizunatalk010_0190,945461921.wem,88636975.wem
addkizunatalk010_0200,79197820.wem,157533144.wem
addkizunatalk010_0210,653609530.wem,694403275.wem
addkizunatalk010_0220,362467205.wem,325523278.wem
addkizunatalk010_0240,675944523.wem,266374192.wem
addkizunatalk010_0250,872995271.wem,614892759.wem
addkizunatalk010_0260,905003284.wem,316040786.wem
addkizunatalk010_0270,851649641.wem,536603979.wem
addkizunatalk010_0280,121949125.wem,860102123.wem
addkizunatalk010_0290,370264889.wem,453742646.wem
addkizunatalk010_0300,1061227201.wem,720085030.wem
addkizunatalk010_0310,37717179.wem,290308442.wem
addkizunatalk010_0320,782739854.wem,380277857.wem
addkizunatalk010_0330,811764454.wem,1013742706.wem
addkizunatalk010_0340,29226495.wem,157237463.wem
addkizunatalk010_0350,36305839.wem,36428132.wem
addkizunatalk010_0360,427338817.wem,897348873.wem
addkizunatalk010_0370,451938250.wem,394345651.wem
addkizunatalk010_0380,722016343.wem,46664978.wem
addkizunatalk010_0390,598810401.wem,881244433.wem
addkizunatalk010_0400,825490472.wem,95788620.wem
addkizunatalk010_0410,516784370.wem,349791976.wem
addkizunatalk010_0420,850157397.wem,760670693.wem
addkizunatalk010_0430,878944674.wem,456104542.wem
addkizunatalk010_0440,269859167.wem,632556481.wem
addkizunatalk010_0450,158993206.wem,274700722.wem
addkizunatalk010_0460,746850753.wem,952835999.wem
addkizunatalk010_0470,874624475.wem,3340726.wem
addkizunatalk010_0480,113618318.wem,545354728.wem
addkizunatalk011_0010,628726825.wem,21276913.wem
addkizunatalk011_0020,708004539.wem,689495119.wem
addkizunatalk011_0030,588698637.wem,15825822.wem
addkizunatalk011_0040,579823284.wem,745788637.wem
addkizunatalk011_0050,462766122.wem,465892793.wem
addkizunatalk011_0060,1031277018.wem,955039629.wem
addkizunatalk011_0070,553968436.wem,894942753.wem
addkizunatalk011_0080,854947022.wem,1055003186.wem
addkizunatalk011_0090,780696945.wem,328445670.wem
addkizunatalk011_0100,854950665.wem,167195979.wem
addkizunatalk011_0110,565541552.wem,44047070.wem
addkizunatalk011_0120,960881741.wem,467450795.wem
addkizunatalk011_0130,816242018.wem,9930708.wem
addkizunatalk011_0140,398074779.wem,819657259.wem
addkizunatalk011_0150,61480934.wem,670694111.wem
addkizunatalk011_0160,676673122.wem,354831149.wem
addkizunatalk011_0170,48184416.wem,136080460.wem
addkizunatalk011_0180,537954529.wem,350228218.wem
addkizunatalk011_0190,241254078.wem,1060755874.wem
addkizunatalk011_0200,666298188.wem,143038134.wem
addkizunatalk011_0210,832039656.wem,977658621.wem
addkizunatalk011_0220,460690888.wem,830669844.wem
addkizunatalk011_0230,745342133.wem,1037830581.wem
addkizunatalk011_0240,702949135.wem,786588407.wem
addkizunatalk011_0250,321117574.wem,119024126.wem
addkizunatalk011_0260,685513559.wem,816826230.wem
addkizunatalk011_0270,312502519.wem,234853978.wem
addkizunatalk011_0280,8442071.wem,281942007.wem
addkizunatalk011_0290,336713136.wem,208134378.wem
addkizunatalk011_0300,547336778.wem,580271220.wem
addkizunatalk011_0310,142940029.wem,1023314062.wem
addkizunatalk011_0320,918970399.wem,664588842.wem
addkizunatalk011_0330,878146927.wem,579349496.wem
addkizunatalk011_0340,840087242.wem,13042854.wem
addkizunatalk011_0350,1040295250.wem,970235627.wem
addkizunatalk011_0360,275410853.wem,766822344.wem
addkizunatalk011_0370,259358998.wem,722700127.wem
addkizunatalk011_0380,870894478.wem,486877843.wem
addkizunatalk011_0390,878947580.wem,733067919.wem
addkizunatalk011_0400,163246772.wem,21134687.wem
addkizunatalk011_0410,311889185.wem,921687792.wem
addkizunatalk011_0420,830654256.wem,992903919.wem
addkizunatalk011_0430,344447391.wem,1027066593.wem
addkizunatalk011_0440,120593879.wem,447004154.wem
addkizunatalk011_0450,83433974.wem,808986736.wem
addkizunatalk011_0460,183913376.wem,683926249.wem
addkizunatalk011_0470,355750817.wem,840944620.wem
addkizunatalk011_0480,141491015.wem,474226348.wem
addkizunatalk011_0490,883868728.wem,370783725.wem
addkizunatalk011_0500,873122243.wem,878038657.wem
addkizunatalk011_0510,269773895.wem,288820663.wem
addkizunatalk011_0520,542289482.wem,636952273.wem
addkizunatalk011_0530,1064496002.wem,80879131.wem
addkizunatalk011_0540,69498306.wem,423942963.wem
addkizunatalk011_0550,20075072.wem,315996865.wem
addkizunatalk011_0560,179612020.wem,778395627.wem
addkizunatalk012_0010,787965007.wem,792905526.wem
addkizunatalk012_0020,86718023.wem,43858920.wem
addkizunatalk012_0030,548515523.wem,1006915835.wem
addkizunatalk012_0040,825904557.wem,10455432.wem
addkizunatalk012_0050,387850026.wem,234731526.wem
addkizunatalk012_0060,568479835.wem,990682070.wem
